name,processor,ram,os,storage,display(in inch),rating,no_of_ratings,no_of_reviews,price(in Rp.),brand,ram_size,ram_type,processor_brand,storage_size,storage_type,cluster,cluster_label
Lenovo Intel Core i5 11th Gen,Intel Core i5 Processor (11th Gen),16 GB DDR4,Windows 11,512 GB SSD,15.6,4.5,14.0,1.0,11899440.9,Lenovo,16,DDR4,Intel,512 GB,SSD,3,Mid-Range (Work/Productivity)
Lenovo V15 G2 Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8 GB DDR4,Windows 11,1 TB HDD|256 GB SSD,15.6,4.4,53.0,3.0,7084125.0,Lenovo,8,DDR4,Intel,1 TB,HDD,1,Budget (School/Basic Use)
ASUS TUF Gaming F15 Core i5 10th Gen,Intel Core i5 Processor (10th Gen),8 GB DDR4,Windows 11,512 GB SSD,15.6,4.4,4733.0,463.0,9443610.9,Asus,8,DDR4,Intel,512 GB,SSD,0,General Purpose
ASUS VivoBook 15 (2022) Core i3 10th Gen,Intel Core i3 Processor (10th Gen),8 GB DDR4,Windows 11,512 GB SSD,15.6,4.3,10406.0,1040.0,6421050.899999999,Asus,8,DDR4,Intel,512 GB,SSD,1,Budget (School/Basic Use)
Lenovo Athlon Dual Core,AMD Athlon Dual Core Processor,4 GB DDR4,DOS,256 GB SSD,14.0,3.8,18.0,3.0,3587400.9,Lenovo,4,DDR4,AMD,256 GB,SSD,1,Budget (School/Basic Use)
APPLE 2020 Macbook Air M1,Apple M1 Processor,8 GB DDR4,Mac OS Operating System,256 GB SSD,13.3,4.7,8865.0,795.0,16433280.9,Apple,8,DDR4,Apple,256 GB,SSD,0,General Purpose
ASUS VivoBook 14 (2021) Celeron Dual Core,Intel Celeron Dual Core Processor,4 GB DDR4,Windows 11,256 GB SSD,14.0,4.1,790.0,95.0,4531950.9,Asus,4,DDR4,Intel,256 GB,SSD,1,Budget (School/Basic Use)
Lenovo V15 G2 Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8 GB DDR4,Windows 11,512 GB SSD,15.6,4.0,112.0,8.0,6422751.09,Lenovo,8,DDR4,Intel,512 GB,SSD,1,Budget (School/Basic Use)
RedmiBook Pro Core i5 11th Gen,Intel Core i5 Processor (11th Gen),8 GB DDR4,Windows 11,512 GB SSD,15.6,4.1,3955.0,462.0,7365600.899999999,Redmibook,8,DDR4,Intel,512 GB,SSD,1,Budget (School/Basic Use)
acer Aspire 3 Ryzen 3 Dual Core 3250U,AMD Ryzen 3 Dual Core Processor,8 GB DDR4,Windows 11,256 GB SSD,15.6,4.2,381.0,76.0,5098680.9,Acer,8,DDR4,AMD,256 GB,SSD,1,Budget (School/Basic Use)
ASUS Vivobook 14 (2022) Core i5 12th Gen,Intel Core i5 Processor (12th Gen),16 GB DDR4,Windows 11,512 GB SSD,14.0,5.0,4.0,0.0,12655080.9,Asus,16,DDR4,Intel,512 GB,SSD,3,Mid-Range (Work/Productivity)
ASUS Vivobook 15 Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8 GB DDR4,Windows 11,512 GB SSD,15.6,4.1,257.0,26.0,7176690.899999999,Asus,8,DDR4,Intel,512 GB,SSD,1,Budget (School/Basic Use)
ASUS Core i7 11th Gen,Intel Core i7 Processor (11th Gen),16 GB DDR4,Windows 11,512 GB SSD,15.6,4.1,137.0,18.0,10765980.9,Asus,16,DDR4,Intel,512 GB,SSD,3,Mid-Range (Work/Productivity)
